regionId,province,city,date,caseId,infection_case,confirmed,accumulated,briefingdate,classname,note,keyword
10,서울,은평구,2020. 2. 23,1,은평성모병원,2,2,2020. 2. 23,보건의료업,,
10,서울,은평구,2020. 2. 23,1,은평성모병원,9,11,2020. 2. 27,보건의료업,,
10,서울,은평구,2020. 2. 23,1,은평성모병원,3,14,2020. 3. 3,보건의료업,,
10,서울,종로구,2020. 3. 3,2,명륜교회,3,3,2020. 3. 3,종교 시설 및 단체,,
10,서울,종로구,2020. 3. 3,3,종로노인종합복지관,6,6,2020. 3. 3,사회복지서비스업,,
10,서울,성동구,2020. 3. 4,4,성동구 아파트,12,12,2020. 3. 4,숙박시설,,
10,서울,성동구,2020. 3. 4,4,성동구 아파트,1,13,2020. 3. 5,숙박시설,,
10,서울,동대문구,2020. 3. 10,5,동안교회/PC방,4,4,2020. 3. 10,종교 시설 및 단체,,
10,서울,동대문구,2020. 3. 10,5,동안교회/PC방,20,24,2020. 3. 15,종교 시설 및 단체,,
10,서울,구로구,2020. 3. 10,6,콜센터,11,11,2020. 3. 10,사업지원 서비스업,,콜센터
10,서울,구로구,2020. 3. 10,6,콜센터,66,77,2020. 3. 11,사업지원 서비스업,,콜센터
10,서울,구로구,2020. 3. 10,6,콜센터,3,80,2020. 3. 12,사업지원 서비스업,,콜센터
10,서울,구로구,2020. 3. 10,6,콜센터,29,109,2020. 3. 13,사업지원 서비스업,,콜센터
10,서울,구로구,2020. 3. 10,6,콜센터,6,115,2020. 3. 14,사업지원 서비스업,,콜센터
10,서울,구로구,2020. 3. 10,6,콜센터,9,124,2020. 3. 15,사업지원 서비스업,,콜센터
10,서울,구로구,2020. 3. 10,6,콜센터,5,129,2020. 3. 16,사업지원 서비스업,,콜센터
10,서울,구로구,2020. 3. 10,6,콜센터,5,134,2020. 3. 17,사업지원 서비스업,,콜센터
10,서울,구로구,2020. 3. 10,6,콜센터,5,139,2020. 3. 19,사업지원 서비스업,,콜센터
10,서울,구로구,2020. 3. 10,6,콜센터,7,146,2020. 3. 20,사업지원 서비스업,,콜센터
10,서울,구로구,2020. 3. 10,6,콜센터,2,148,2020. 3. 21,사업지원 서비스업,,콜센터
10,서울,구로구,2020. 3. 10,6,콜센터,4,152,2020. 3. 22,사업지원 서비스업,,콜센터
10,서울,구로구,2020. 3. 10,6,콜센터,4,156,2020. 3. 23,사업지원 서비스업,,콜센터
10,서울,구로구,2020. 3. 10,6,콜센터,2,158,2020. 3. 24,사업지원 서비스업,,콜센터
10,서울,구로구,2020. 3. 10,6,콜센터,2,160,2020. 3. 26,사업지원 서비스업,,콜센터
10,서울,구로구,2020. 3. 10,6,콜센터,3,163,2020. 3. 27,사업지원 서비스업,,콜센터
10,서울,중구,2020. 3. 10,7,패션회사,7,7,2020. 3. 10,일반 직장,,
10,서울,구로구,2020. 3. 25,8,만민중앙교회,7,7,2020. 3. 28,종교 시설 및 단체,,
10,서울,구로구,2020. 3. 25,8,만민중앙교회,6,13,2020. 3. 29,종교 시설 및 단체,,
10,서울,구로구,2020. 3. 25,8,만민중앙교회,10,23,2020. 3. 30,종교 시설 및 단체,,
10,서울,구로구,2020. 3. 25,8,만민중앙교회,10,33,2020. 3. 31,종교 시설 및 단체,,
10,서울,구로구,2020. 3. 25,8,만민중앙성결교회,8,41,2020. 4. 1,종교 시설 및 단체,집단명은 다르지만 누적값 일치로 같은 케이스로 추정됨,
10,서울,송파구,2020. 4. 1,9,서울아산병원,1,1,2020. 4. 1,보건의료업,입원환자 1명 확진. 해당 환자는 3/25~26 의정부성모병원 방문. 이에 따른 역학조사중,
10,서울,송파구,2020. 4. 1,9,서울아산병원,1,2,2020. 4. 5,보건의료업,,
10,서울,송파구,2020. 4. 1,9,서울아산병원,1,3,2020. 4. 18,보건의료업,이전 데이터와의 비교로 누적확진 수 유추하여 기입함,
10,서울,서초구,2020. 4. 6,10,서초구 소재 주점(리퀴드소울),4,4,2020. 4. 9,유흥시설,,주점
10,서울,서초구,2020. 4. 6,10,서초구 소재 주점(리퀴드소울),1,5,2020. 4. 10,유흥시설,,주점
10,서울,용산구,2020. 5. 6,11,이태원 클럽,13,15,2020. 5. 8,유흥시설,,
10,서울,용산구,2020. 5. 6,11,이태원 클럽,12,27,2020. 5. 9,유흥시설,,
10,서울,용산구,2020. 5. 6,11,이태원 클럽,35,54,2020. 5. 10,유흥시설,(전일+추가)값과 누적값 불일치,
10,서울,용산구,2020. 5. 6,11,이태원 클럽,43,86,2020. 5. 11,유흥시설,(전일+추가)값과 누적값 불일치,
